"channel","video_id","title","publish_date","view_count","like_count","comment_count","subscribers","thumbnail_high_url","description","dwh_create_timestamp","dwh_created_by","dwh_updated_by","dwh_update_timestamp"
"Zaobaosg","j1z8aQKkPj0","马凯硕：我是亲新加坡的中国乐观派","2024-08-11 09:00:35","154","8","1","183000","https://i.ytimg.com/vi/j1z8aQKkPj0/hqdefault.jpg","在联合国亲眼见证大国角力，向李嘉诚“狮子开大口”募捐1亿元，我国前资深外交官马凯硕（Kishore Mahbubani）将自己的人生经历汇编成回忆录。二十一世纪将会是亚洲世纪？中美对立将继续恶化？马凯硕在专访中分享写自传的意义，以及对中美关系的见解。


--- 
立即加入《联合早报》Telegram和WhatsApp频道，获取即时新闻推送，方便掌握最新消息。

Telegram：https://t.me/zaobaosg WhatsApp：https://zb.sg/whatsapp

关注我们 Follow us: 
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosgzaobao.sg
Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","o0N7cM-gn9U","【奥运会】墨士廉：我还有些郁闷，但也是发自内心地快乐","2024-08-10 09:36:32","11348","181","21","183000","https://i.ytimg.com/vi/o0N7cM-gn9U/hqdefault.jpg","“真要坦白说出心里话吧…我还没走出郁闷情绪。”

“但这绝不是因为我觉得自己表现不好。我需要认清的事实反而是，我的表现并不至于完全失常……”

代表我国出征巴黎奥运会的17岁小将墨士廉，在本地时间星期五（8月9日）晚间夺得男子水翼风筝板铜牌，成为新加坡历史上最年轻的奥运奖牌得主，为我国拿下64年来的第六枚奥运奖牌。

这位帆船少年今年横扫所有世界大赛冠军，又以夺金热门征战奥运，而今结果不如预期，一向自我要求很高的他，在比赛结束后一上岸，就与妈妈丁慧卿拥抱许久，背着掌声哭了。

点击视频听墨士廉诉说夺牌后的复杂心情。https://zb.sg/CMgy

#news #MaximilianMaeder #MaxMaeder #TeamSG #WorldChampion #Sailing #Kitefoiling #Olympics #interview #sports #ParisOlympics #bronze #Medal #墨士廉 #水翼风筝板 #帆船 #巴黎奥运 #新加坡代表 #铜牌

--- 
立即加入《联合早报》Telegram和WhatsApp频道，获取即时新闻推送，方便掌握最新消息。

Telegram：https://t.me/zaobaosg WhatsApp：https://zb.sg/whatsapp

关注我们 Follow us: 
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosgzaobao.sg
Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","LIsLZIzYsNw","新加坡国庆庆典360度烟火表演绚丽登场！#zaobaosg #sgnews #shorts","2024-08-09 12:46:17","3445","93","1","183000","https://i.ytimg.com/vi/LIsLZIzYsNw/hqdefault.jpg","好美呀！国庆庆典360度烟火表演绚丽登场，点亮政府大厦前大草场一带上空。📹：谢慧平

新报业媒体是2024年新加坡国庆庆典主要合作伙伴。

#zaobaosg #新加坡 #新加坡新闻 #新加坡人 #新加坡生活 #新加坡国庆日 #国庆2024 #庆祝 #团结 #sgnews #singapore #singaporean #singaporeresident #livinginsg #sglife #nationalday #nationalday2024 #ndp2024 #ndpeeps #giveasonesg #togetherasonesg #ilovesingapore #sgunited #celebration
---
欢迎你加入我们的Telegram频道，点击https://t.me/zaobaosg 订阅zaobao.sg新闻频道！

关注我们 Follow us:
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosg
zaobao.sg Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","1catvoZ_wcY","尚达曼上任后首次以总统身份出席国庆庆典 #zaobaosg #sgnews #shorts","2024-08-09 11:31:24","3090","52","4","183000","https://i.ytimg.com/vi/1catvoZ_wcY/hqdefault.jpg","尚达曼总统抵达国庆庆典现场，全场热烈欢呼迎接他的到来。这是尚达曼总统2023年9月上任后，首次以总统身份出席国庆庆典。📹：马华卿

新报业媒体是2024年新加坡国庆庆典主要合作伙伴。

#zaobaosg #新加坡 #新加坡新闻 #新加坡人 #新加坡生活 #新加坡国庆日 #国庆2024 #庆祝 #团结 #sgnews #singapore #singaporean #singaporeresident #livinginsg #sglife #nationalday #nationalday2024 #ndp2024 #ndpeeps #giveasonesg #togetherasonesg #ilovesingapore #sgunited #celebration
---
欢迎你加入我们的Telegram频道，点击https://t.me/zaobaosg 订阅zaobao.sg新闻频道！

关注我们 Follow us:
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosg
zaobao.sg Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","qQ1_1WWqe-4","国务资政李显龙入场 现场欢呼声不断！#zaobaosg #sgnews #shorts","2024-08-09 11:09:15","7038","185","18","183000","https://i.ytimg.com/vi/qQ1_1WWqe-4/hqdefault.jpg","国务资政李显龙入场！现场还播放了一段视频向李资政致敬，感谢他过去出任总理时，为新加坡做出的贡献。📹：马华卿

新报业媒体是2024年新加坡国庆庆典主要合作伙伴。

#zaobaosg #新加坡 #新加坡新闻 #新加坡人 #新加坡生活 #新加坡国庆日 #国庆2024 #庆祝 #团结 #sgnews #singapore #singaporean #singaporeresident #livinginsg #sglife #nationalday #nationalday2024 #ndp2024 #ndpeeps #giveasonesg #togetherasonesg #ilovesingapore #sgunited #celebration
---
欢迎你加入我们的Telegram频道，点击https://t.me/zaobaosg 订阅zaobao.sg新闻频道！

关注我们 Follow us:
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosg
zaobao.sg Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","PqeYO-HcYu0","国庆庆典前突降大雨 工作人员乘雨势转小 抓紧清理舞台积水 #zaobaosg #sgnews #shorts","2024-08-09 10:17:52","5939","109","5","183000","https://i.ytimg.com/vi/PqeYO-HcYu0/hqdefault.jpg","天公不作美！距离新加坡独立59周年国庆庆典开场不到一小时，现场突降暴雨，但民众热情不减，仍在雨中入场，并在会场耐心等候。随着雨势转小，工作人员抓紧时间，清理表演区域的积水，确保庆典能准时开场。📹：张佳莹

新报业媒体是2024年新加坡国庆庆典主要合作伙伴。

#zaobaosg #新加坡 #新加坡新闻 #新加坡人 #新加坡生活 #新加坡国庆日 #国庆2024 #庆祝 #团结 #sgnews #singapore #singaporean #singaporeresident #livinginsg #sglife #nationalday #nationalday2024 #ndp2024 #ndpeeps #giveasonesg #togetherasonesg #ilovesingapore #sgunited #celebration
---
欢迎你加入我们的Telegram频道，点击https://t.me/zaobaosg 订阅zaobao.sg新闻频道！

关注我们 Follow us:
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosg
zaobao.sg Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","04DSfynIKRM","前工人党议员、DSA直接收生计划、青年谈恋爱 Leon Perera, Direct School Admission, young people dating #茶水间三问 #早报播客","2024-08-09 03:16:09","6476","56","13","183000","https://i.ytimg.com/vi/04DSfynIKRM/hqdefault.jpg","For youtube
[00:00] 开场
[00:18] 新加坡前工人党议员贝理安加入前进党？
[03:57] DSA比才华还是比财力？
[08:27] 近四成新加坡青年从来没有谈过恋爱？

1）新加坡前工人党议员贝理安加入前进党？
因涉婚外情辞去国会议席和退出工人党的阿裕尼集选区前议员贝理安，过去一个月密集地在个人脸书发文，并参加多场政治活动。他也“以非党员的个人身份协助新加坡前进党”，引发他接下来会否在前进党旗下参选的猜测。

2）DSA比才华还是比财力？
新加坡的直接收生计划（Direct School Admission，简称DSA）自2004年推出，旨在让学生在会考前，凭借学业以外的才艺报读中学或初级学院。然而，近期发生的篮球教练涉嫌受贿事件，引发了公众对DSA公平性的质疑。一些家长为孩子报名参加昂贵的才艺班，导致普通家庭的学生难以公平竞争。为了应对这些问题，新加坡政府和学校正在积极采取措施，例如加强对申请材料的审核，以及对遴选过程的监督。

3）近四成新加坡青年从来没有谈过恋爱？
一项调查显示，新加坡近四成23至30岁的年轻人从未谈过恋爱。原因包括未遇到合适对象、生活优先事项不同以及恋爱压力大。研究员指出，年轻人更注重学业和事业发展，恋爱变得次要。调查也发现，逾八成青年认为单身是可以接受的选择，但多数人仍希望未来能结婚生子。专家建议，社会应减少对年轻人婚恋选择的压力，给予他们更多理解和尊重。

TGIF，又是星期五了。

泡一杯咖啡，听《联合早报》播客《茶水间三问》畅聊天下事。

主持人吴婉君每周提出三个发人深省的问题，解说新加坡海内外的热点话题。从新加坡新闻事件到国际大事，《茶水间三问》为听众提供更全面的视角。

早报播客可以在《联合早报》网站和应用，以及Apple Podcasts, Spotify, YouTube 和各大播客平台收听。

Grab a cup of coffee from your pantry and join us every week. Lianhe Zaobao’s podcast Pantry News Talk is your perfect companion for an informative and enjoyable break.

Published every Friday afternoon, this Mandarin podcast delves deep into the hottest topics in Singapore and beyond. In each episode, host Christie Ng raises three thought-provoking questions that tackle a wide range of news topics, from Singaporean issues to global matters, giving listeners a well-rounded perspective.

Pantry News Talk is available on Lianhe Zaobao website and app as well as Apple Podcasts, Spotify, YouTube and other podcast platforms.
---
欢迎你加入我们的Telegram频道，点击https://t.me/zaobaosg 订阅zaobao.sg新闻频道！

关注我们 Follow us:
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosg
zaobao.sg Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","NzPSFcz5Bt4","国会激辩选区划分不公    陈振声：行动党未谋取政治优势","2024-08-07 15:38:39","13058","113","95","183000","https://i.ytimg.com/vi/NzPSFcz5Bt4/hqdefault.jpg","新加坡到底是否存在操纵选区划分（gerrymandering）？新加坡前进党在国会上提出动议，重新检讨现行的选区划分制度，多名反对党议员与代表黄循财总理发言的教育部长陈振声进行激辩。陈振声否认现行制度存在不公，并指责反对党借此动议向国会和公众播种对于政府的不满和不信任。
#sgnews #新加坡 


--- 
立即加入《联合早报》Telegram和WhatsApp频道，获取即时新闻推送，方便掌握最新消息。

Telegram：https://t.me/zaobaosg WhatsApp：https://zb.sg/whatsapp

关注我们 Follow us: 
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosgzaobao.sg
Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","_XNzmv2ySEQ","哈里斯副手选定沃尔兹  抢占传统白人与中部票仓","2024-08-07 10:49:21","12301","64","48","183000","https://i.ytimg.com/vi/_XNzmv2ySEQ/hqdefault.jpg","美国民主党总统候选人哈里斯宣布了自己的副手人选——现年60岁的明尼苏达州长沃尔兹 (Tim Walz)。最新民调显示，民主党阵势敲定后，哈里斯与特朗普距离小幅拉大到三个百分点优势。

一如外界所料，哈里斯选了一位传统白人男士为搭档，以与自己的非白人女性形象形成互补。沃尔兹究竟是什么来头？他曾担任教师、还会说中文？外界普遍看好这个组合，相信沃尔兹的温和背景不仅能柔和哈里斯偏左的立场，也可以吸引中部票仓的选民。

而特朗普的副手人选万斯 (J.D. Vance)也来自中西部，可以看出两党对这个地区，包括威斯康星，俄亥俄，密歇根与宾夕法尼亚的关注与投入，这几个关键摇摆州的选民将直接决定今年11月总统大选的结果。https://zb.sg/zqR3

#哈里斯 #沃尔兹 #harris #walz #特朗普 #trump #万斯 #vance #美国大选 #uspresidentialelection #总统选举 #摇摆州 #swingstates 

--- 
立即加入《联合早报》Telegram和WhatsApp频道，获取即时新闻推送，方便掌握最新消息。

Telegram：https://t.me/zaobaosg WhatsApp：https://zb.sg/whatsapp

关注我们 Follow us: 
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosgzaobao.sg
Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
"Zaobaosg","M5DOw_fqAhs","中共政治局治得了产业“内卷”吗？Unwinding China's rat race #东谈西论 #早报播客","2024-08-06 09:44:11","17484","162","147","183000","https://i.ytimg.com/vi/M5DOw_fqAhs/hqdefault.jpg","中国今年第二季度的经济增长只有4.7%，不但低于预期，也是五个季度以来的最低水平。

为了稳住经济，中共政治局7月30日召开会议，部署下半年经济工作要求、提振内需、培育壮大新兴产业和未来产业。会议上还出现了一个罕见要求，就是“强化行业自律，防止‘内卷式’恶性竞争”。

中国的企业现在有多“卷”？

这期的早报播客《东谈西论》，听主持人韩咏红和辽宁大学特聘研究员陈波深入解析什么是“内卷式”恶性竞争？政治局一纸命令真的能有效防止“内卷”？

延伸阅读：
陈婧：政治局会议也谈“防内卷” https://zb.sg/t33k
中国出台20条促消费 分析：电商、游戏、教培重获重视 https://zb.sg/ftaA

0:00 开场
01:24 几乎所有行业都在“内卷”
08:00 有效需求不足导致“内卷”
10:43 中央说不要内卷就不会内卷了吗？
14:54 国内外对“内卷”看法两极化

纵观天下，监测中国心跳，由《联合早报》副总编辑韩咏红主持的国际时事播客《东谈西论》，每周探讨国际热点话题，分析国际时政动态。每逢星期二新加坡时间晚上7时更新。

China’s economic growth slowed to a mere 4.7% in the second quarter of 2024, falling short of projections and marking the weakest performance in five consecutive quarters. To stabilise the economy,  the Chinese Communist Party’s Politburo convened on July 30 to formulate economic strategies for the second half of the year. The meeting underscored the importance of stimulating domestic demand and nurturing the expansion of emerging and future industries.

Interestingly, the meeting  also issued an uncommon directive, urging for greater industry self-discipline to curb what is termed as “involution-style” vicious competition.   

""Involution,"" in this context, describes a pattern of excessive, often unproductive competition that traps businesses in a cycle of diminishing returns. This can manifest as a culture of extreme work with minimal gains in productivity and innovation.

How prevalent is this issue among Chinese enterprises, and can a top-down directive from the Politburo effectively mitigate this behaviour?  

In this episode of Global Heartbeat podcast, host Han Yong Hong is joined by Chen Bo, a prominent researcher and Adjunct Professor of Economics at Liaoning University to analyse the effectiveness of the Politburo’s directive. 

Hosted by Lianhe Zaobao’s Associate Editor, Han Yong Hong, Global Heartbeat is a Mandarin weekly news and current affairs podcast that is updated every Tuesday, 7.00 PM SGT. It is available on zaobao.sg, Apple Podcast, Google Podcasts, Spotify and other podcast platforms.
---
欢迎你加入我们的Telegram频道，点击https://t.me/zaobaosg 订阅zaobao.sg新闻频道！

关注我们 Follow us:
zaobao.sg FB：https://www.facebook.com/zaobaosg
zaobao.sg Twitter：https://twitter.com/zaobaosg
zaobao.sg Instagram：https://www.instagram.com/zaobaosg","2024-08-11 14:42:48","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:48"
